Structure,Diameter (inches),Length (km),Metal,Plastic,Concrete,Residue,Chemicals,Hydrocarbon,Burial Status,Final Decommissioning Option
PL2565,6.626,3.917,1,0,0,1,0,1,1,FullRemoval
PL3006,10,1.848,1,1,0,1,0,1,1,FullRemoval
PL3007,10,1.799,1,1,0,1,0,1,1,FullRemoval
PL1326,7.8,1.6,1,1,0,1,0,1,1,FullRemoval
PL1327,7.8,1.4,1,1,0,1,0,1,1,FullRemoval
PL1328,7.8,1.4,1,1,0,1,0,1,1,FullRemoval
PL1329,8.9,1.4,1,1,0,1,0,1,1,FullRemoval
PL1330,4,2.3,1,1,0,1,0,1,1,FullRemoval
PL1331,3,2.8,1,1,0,1,0,1,1,FullRemoval
PL1979 (2),4,0.1,1,1,0,1,1,0,0,LeaveInSitu
PL1574,3,0.1,1,1,0,1,1,0,0,LeaveInSitu
PL1465,3,0.03,1,1,0,1,1,0,0,LeaveInSitu
PL2611,8,0.081,1,1,0,1,1,0,0,LeaveInSitu
PL1620,8.625984252,0.06,1,1,0,1,1,0,0,LeaveInSitu
PL1379/1-7,10,0.25,1,1,0,1,1,0,0,LeaveInSitu
PL1383/1-5,10,2.382,1,1,0,1,1,0,0,LeaveInSitu
PL1402/1-5,10,2.8,1,1,0,1,1,0,0,LeaveInSitu
PL1425/1-7,10,0.2,1,1,0,1,1,0,0,LeaveInSitu
PL1426/1-6,10,0.19,1,1,0,1,1,0,0,LeaveInSitu
PL1427/1-6,10,2.986,1,1,0,1,1,0,0,LeaveInSitu
PL1434/1-2,10,3.679,1,1,0,1,1,0,0,LeaveInSitu
PL1435/1-2,4,0.082,1,1,0,1,1,0,0,LeaveInSitu
PL1371/1-5,10,4.812,1,1,0,1,1,0,0,LeaveInSitu
PL1616,8.625984252,0.04,1,1,0,1,0,1,0,LeaveInSitu
PL1616,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1616,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1617,8.625984252,0.04,1,1,0,1,0,1,0,LeaveInSitu
PL1617,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1617,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1618,4.5,0.04,1,1,0,1,0,1,0,LeaveInSitu
PL1618,4.5,0.045,1,1,0,1,0,1,0,LeaveInSitu
PL1618,4.5,0.055,1,1,0,1,0,1,0,LeaveInSitu
PL1624,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1624,8.625984252,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1625,3.5,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1625,3.5,0.02,1,1,0,1,0,1,0,LeaveInSitu
PL1445,3,0.16,1,1,0,1,0,1,0,LeaveInSitu
PL64,30,117.3,1,0,1,1,0,1,0,LeaveInSitu
PL896,30,23,1,0,1,1,0,1,0,LeaveInSitu
PL1059.1-2,8,0.1,1,0,0,1,0,1,0,LeaveInSitu
PL1572,16,0.1,1,1,0,1,0,1,0,LeaveInSitu
PL1464,16,0.03,1,1,0,1,0,1,0,LeaveInSitu
PL2610,6,0.081,1,1,0,1,0,1,0,LeaveInSitu
PL148,20,13,1,0,0,0,0,0,0,LeaveInSitu
PL1866,4.153543307,13.408,1,1,0,1,1,0,1,LeaveInSitu
PL2839,2,22.24,1,1,0,1,1,0,1,LeaveInSitu
PL1273.1 to PL1273.3,3.7,7,1,1,0,1,1,0,1,LeaveInSitu
PL955,6,4.9,1,1,0,1,1,0,1,LeaveInSitu
PL1094,3,19.5,1,1,0,1,1,0,1,LeaveInSitu
PL1092,3,14.3,1,1,0,1,1,0,1,LeaveInSitu
PL1695,3,4.5,1,1,0,1,1,0,1,LeaveInSitu
PL1451 (1.02),,23,1,1,0,1,1,0,1,LeaveInSitu
PL1454 (1.02),,1.7,1,1,0,1,1,0,1,LeaveInSitu
PL1454 (1.08),,0.1,1,1,0,1,1,0,1,LeaveInSitu
PL161,3,139.2,1,1,0,1,1,0,1,LeaveInSitu
PL134,3,10.9,1,1,0,1,1,0,1,LeaveInSitu
PL1573,3,13.6,1,1,0,1,1,0,1,LeaveInSitu
PL2644,3,27.5,1,1,0,1,1,0,1,LeaveInSitu
PL1768,4.5,8.7,1,1,0,1,1,0,1,LeaveInSitu
PL252,8,4.8,1,1,0,1,1,0,1,LeaveInSitu
PL2559,8,10.5,1,1,0,1,1,0,1,LeaveInSitu
PL2560,8,0.8,1,1,0,1,1,0,1,LeaveInSitu
PL948,4,17.6,1,1,0,1,1,0,1,LeaveInSitu
PL132,2,4.023,1,1,0,1,1,0,1,LeaveInSitu
PL131,2,4.148,1,1,0,1,1,0,1,LeaveInSitu
PL133,2,12.875,1,1,0,1,1,0,1,LeaveInSitu
PL66,2,5.1,1,1,0,1,1,0,1,LeaveInSitu
PL130,2,5.592,1,1,0,1,1,0,1,LeaveInSitu
PL933,4,34.5,1,1,0,1,1,0,1,LeaveInSitu
PL2492,4,10,1,1,0,1,1,0,1,LeaveInSitu
PL373,4,4.8,1,1,0,1,1,0,1,LeaveInSitu
PL374,4,9.3,1,1,0,1,1,0,1,LeaveInSitu
PL1636,5,11.2,1,1,0,1,1,0,1,LeaveInSitu
PL1638,5,4.5,1,1,0,1,1,0,1,LeaveInSitu
PL1058.1-2,5,19.9,1,1,0,1,1,0,1,LeaveInSitu
PL1619.1 to PL1619.2,0.75,21.6,1,1,0,1,1,0,1,LeaveInSitu
PL1619.3 to PL1619.8,0.5,21.6,1,1,0,1,1,0,1,LeaveInSitu
PL1620,8.625984252,21.6,1,1,0,1,1,0,1,LeaveInSitu
PL1626.1 to PL1626.2,0.75,5.6,1,1,0,1,1,0,1,LeaveInSitu
PL1626.3 to PL1626.8,0.5,5.6,1,1,0,1,1,0,1,LeaveInSitu
PL303,3.015748031,3.5,1,1,0,1,1,0,1,LeaveInSitu
PL479-487,3.015748031,2.5,1,1,0,1,1,0,1,LeaveInSitu
PL2031,6,77.6,1,1,0,1,1,0,1,LeaveInSitu
PL2032,4,11.869,1,1,0,1,1,0,1,LeaveInSitu
PL455,3,118.503,1,1,0,1,1,0,1,LeaveInSitu
PL111,8,5.28,1,0,1,1,1,0,1,LeaveInSitu
PL855,3,23.7,1,0,0,1,1,0,1,LeaveInSitu
PL212,3,13.5,1,0,0,1,1,0,1,LeaveInSitu
PL1096,3,5.1,1,0,0,1,1,0,1,LeaveInSitu
PL2081,2.5,20.6,1,0,0,1,1,0,1,LeaveInSitu
PL932,3,33.9,1,0,0,1,1,0,1,LeaveInSitu
PL1637,8,4.6,1,1,0,1,0,1,1,LeaveInSitu
PL2047/JP2,8,3.3,1,1,0,1,0,1,1,LeaveInSitu
PL2047/JP3,8,2.6,1,1,0,1,0,1,1,LeaveInSitu
PL1616,8.625984252,21.6,1,1,0,1,0,1,1,LeaveInSitu
PL1617,8.625984252,21.6,1,1,0,1,0,1,1,LeaveInSitu
PL1618,4.5,21.6,1,1,0,1,0,1,1,LeaveInSitu
PL1624,8.625984252,5,1,1,0,1,0,1,1,LeaveInSitu
PL1625,3.5,0.6,1,1,0,1,0,1,1,LeaveInSitu
PL2029,18,77.6,1,1,0,1,0,1,1,LeaveInSitu
PL2030,12,11.869,1,1,0,1,0,1,1,LeaveInSitu
PL931,16,33.9,1,0,1,1,0,1,1,LeaveInSitu
PL2491,8,10,1,0,1,1,0,1,1,LeaveInSitu
PL370,24,89.5,1,0,1,1,0,1,1,LeaveInSitu
PL371,8,9.3,1,0,1,1,0,1,1,LeaveInSitu
PL372,8,4.8,1,0,1,1,0,1,1,LeaveInSitu
PL1635,8,11.2,1,0,1,1,0,1,1,LeaveInSitu
PL1057,12,19.8,1,0,1,1,0,1,1,LeaveInSitu
PL2409,12,28.2,1,0,0,1,0,1,1,LeaveInSitu
PL2080,10,20.6,1,0,0,1,0,1,1,LeaveInSitu
PL2047,12,29.2,1,0,0,1,0,1,1,LeaveInSitu
PL2047/JP1,8,0.07,1,0,0,1,0,1,1,LeaveInSitu
PL80,20,3.88,1,0,0,1,0,1,1,LeaveInSitu
PL81,24,9.14,1,0,0,1,0,1,1,LeaveInSitu
PL82,16,3.22,1,0,0,1,0,1,1,LeaveInSitu
PL302,12.75,3.35,1,0,0,1,0,1,1,LeaveInSitu
PL402,10.75,2.4,1,0,0,1,0,1,1,LeaveInSitu
PL2805,8.63,11.99,1,0,0,1,0,1,1,LeaveInSitu
PL454,36,118.499,1,0,0,1,0,1,1,LeaveInSitu
PL1488,10,8.3,1,1,0,1,0,1,1,LeaveInSitu
PL1489,10,8.3,1,1,0,1,0,1,1,LeaveInSitu
PL2782,11.63,5.202,1,1,0,1,0,1,1,LeaveInSitu
PL401,12.75,54.043,1,1,0,1,0,1,1,LeaveInSitu
PL1865,8.625984252,13.461,1,1,0,1,0,1,1,LeaveInSitu
PL1865A,8.625984252,13.189,1,1,0,1,0,1,1,LeaveInSitu
PL2838,10,22.315,1,1,0,1,0,1,1,LeaveInSitu
PL1694,12,4.5,1,1,0,1,0,1,1,LeaveInSitu
PL1978 (7 to 9),20,0.2,1,1,0,1,0,1,1,LeaveInSitu
PL1455B,12,26.6,1,1,0,1,0,1,1,LeaveInSitu
PL1450 (1.08),5.5,2.4,1,1,0,1,0,1,1,LeaveInSitu
PL1452 (1.15 & 1.16),8.25,1.6,1,1,0,1,0,1,1,LeaveInSitu
PL1453 (1.10 & 1.11),8.25,1.6,1,1,0,1,0,1,1,LeaveInSitu
PL2523,8,5.7,1,1,0,1,0,1,1,LeaveInSitu
PL2524 (2.04 to 2.08),3,5.7,1,1,0,1,0,1,1,LeaveInSitu
PL27,28,139.2,1,1,0,1,0,1,1,LeaveInSitu
PL88,24,10.9,1,1,0,1,0,1,1,LeaveInSitu
PL1571,16,13.6,1,1,0,1,0,1,1,LeaveInSitu
PL2643,16,27.5,1,1,0,1,0,1,1,LeaveInSitu
PL1767,10,8.7,1,1,0,1,0,1,1,LeaveInSitu
PL1958,8,8.309,1,1,0,1,0,1,1,LeaveInSitu
PL2557,6,10.5,1,1,0,1,0,1,1,LeaveInSitu
PL2558,6,0.8,1,1,0,1,0,1,1,LeaveInSitu
PL947,12,41.8,1,1,0,1,0,1,1,LeaveInSitu
PL89,12,4.023,1,1,0,1,0,1,1,LeaveInSitu
PL90,12,4.148,1,1,0,1,0,1,1,LeaveInSitu
PL91,12,12.875,1,1,0,1,0,1,1,LeaveInSitu
PL92,12,5.1,1,1,0,1,0,1,1,LeaveInSitu
PL93,12,5.592,1,1,0,1,0,1,1,LeaveInSitu
PL16,16,58.98,1,0,1,1,0,1,1,LeaveInSitu
PL112,6,5.213,1,0,1,1,0,1,1,LeaveInSitu
PL2781,11.63,4.377,1,0,0,1,0,1,1,LeaveInSitu
PL1273,8,6.8,1,0,0,1,0,1,1,LeaveInSitu
PL954,8,4.9,1,0,0,1,0,1,1,LeaveInSitu
PL854,12,23.7,1,0,0,1,0,1,1,LeaveInSitu
PL1098,18,19.5,1,0,0,1,0,1,1,LeaveInSitu
PL1091,12,14.3,1,0,0,1,0,1,1,LeaveInSitu
PL3121,12,22,1,0,0,1,0,1,1,LeaveInSitu
PL5,24,31.7,1,0,0,1,0,1,1,LeaveInSitu
PL211,16,13.5,1,0,0,1,0,1,1,LeaveInSitu
PL1095,12,5.1,1,0,0,1,0,1,1,LeaveInSitu
PL147,10,13,1,0,0,0,0,0,1,LeaveInSitu
PL993,2,0.058,1,1,0,1,1,0,0,PartialRemoval
PL993,2,0.093,1,1,0,1,1,0,0,PartialRemoval
PL993,3,0.052,1,1,0,1,1,0,0,PartialRemoval
PL735A,8,0.234,1,1,0,1,1,0,0,PartialRemoval
PL735A,10,6600,1,1,0,1,1,0,0,PartialRemoval
PL746,6,0.025,1,1,0,1,1,0,0,PartialRemoval
PL747,6,0.025,1,1,0,1,1,0,0,PartialRemoval
PL748,6,0.025,1,1,0,1,1,0,0,PartialRemoval
PL749,6,0.025,1,1,0,1,1,0,0,PartialRemoval
PL735,8,0.055,1,1,0,1,1,0,0,PartialRemoval
PL735,8,0.055,1,1,0,1,1,0,0,PartialRemoval
PL736,3,0.65,1,1,0,1,1,0,0,PartialRemoval
PL736,5,0.891,1,1,0,1,1,0,0,PartialRemoval
PL754,3.5,0.054,1,1,0,1,1,0,0,PartialRemoval
PL755,3.5,0.12,1,1,0,1,1,0,0,PartialRemoval
PL756,3.5,0.092,1,1,0,1,1,0,0,PartialRemoval
PWA 4/W/90,3.5,0.092,1,1,0,1,1,0,0,PartialRemoval
PL757,3.5,0.032,1,1,0,1,1,0,0,PartialRemoval
PL758,3.5,0.042,1,1,0,1,1,0,0,PartialRemoval
PWA 4/W/90,3.5,0.042,1,1,0,1,1,0,0,PartialRemoval
PL759,3.5,0.069,1,1,0,1,1,0,0,PartialRemoval
PL760,3.5,0.12,1,1,0,1,1,0,0,PartialRemoval
PL761,3.5,0.135,1,1,0,1,1,0,0,PartialRemoval
PL737,3,0.05,1,1,0,1,1,0,0,PartialRemoval
PL3001JWP1,3,0.024,1,1,0,1,1,0,0,PartialRemoval
PL3001JWP2,3,0.024,1,1,0,1,1,0,0,PartialRemoval
PL3001JWP3,3,0.033,1,1,0,1,1,0,0,PartialRemoval
PL3001JWP4,3,0.033,1,1,0,1,1,0,0,PartialRemoval
PL3001JWP4A,3,0.033,1,1,0,1,1,0,0,PartialRemoval
PL3001JWP5,3,0.047,1,1,0,1,1,0,0,PartialRemoval
PL3001JWP6,3,0.047,1,1,0,1,1,0,0,PartialRemoval
PL3001JWP7,3,0.024,1,1,0,1,1,0,0,PartialRemoval
PL3960-PL3966,3.5,0.08,1,1,0,1,1,0,0,PartialRemoval
PL3967-PL3973,3.5,0.094,1,1,0,1,1,0,0,PartialRemoval
PL3974-PL3980,3.5,0.066,1,1,0,1,1,0,0,PartialRemoval
PL3981-PL3987,3.5,0.032,1,1,0,1,1,0,0,PartialRemoval
PL1556,4,0.46,1,1,0,1,1,0,0,PartialRemoval
PL1667,3.5,0.05,1,1,0,1,1,0,0,PartialRemoval
PL1895,5.47,7.315,1,1,0,1,1,0,0,PartialRemoval
PL1842.4JW12,6.63,0.021,1,1,0,1,1,0,0,PartialRemoval
PL1842.5JAQ2,6.63,0.036,1,1,0,1,1,0,0,PartialRemoval
PL1842.5JAQ2,12.75,0.24,1,1,0,1,1,0,0,PartialRemoval
PL1841.4JWI1,6.63,0.041,1,1,0,1,1,0,0,PartialRemoval
PL1841.3JWI1,2.37,0.041,1,1,0,1,1,0,0,PartialRemoval
PL124,12.75,1.99,1,1,0,1,1,0,0,PartialRemoval
PL735A,10,0.0035,1,0,0,1,1,0,0,PartialRemoval
PL735,10,3.239,1,0,0,1,1,0,0,PartialRemoval
PL735,10,3.237,1,0,0,1,1,0,0,PartialRemoval
PL23837,0.5,0.1,0,1,0,1,1,0,0,PartialRemoval
PL4337,0.5,0.09,0,1,0,1,1,0,0,PartialRemoval
PL1841,42.5,2.117,1,1,0,1,0,1,0,PartialRemoval
PL1842,47.5,2.137,1,1,0,1,0,1,0,PartialRemoval
PL1842.2JP1,6.63,0.032,1,1,0,1,0,1,0,PartialRemoval
PL1842.3JP1,2.37,0.032,1,1,0,1,0,1,0,PartialRemoval
PL1842.2JP2,6.63,0.028,1,1,0,1,0,1,0,PartialRemoval
PL1842.3JP2,2.37,0.028,1,1,0,1,0,1,0,PartialRemoval
PL1842.3JAQ2,2.37,0.028,1,1,0,1,0,1,0,PartialRemoval
PL1842.2JP7,6.63,0.061,1,1,0,1,0,1,0,PartialRemoval
PL1842.3JP7,2.37,0.061,1,1,0,1,0,1,0,PartialRemoval
PL1843,6.63,0.16,1,1,0,1,0,1,0,PartialRemoval
PL1842.1,12.75,0.119,1,1,0,1,0,1,0,PartialRemoval
PL1842.2,8.63,0.131,1,1,0,1,0,1,0,PartialRemoval
PL1842.3,6.63,0.155,1,1,0,1,0,1,0,PartialRemoval
PL1841.1JP6,6.63,0.047,1,1,0,1,0,1,0,PartialRemoval
PL1841.3JP6,2.37,0.047,1,1,0,1,0,1,0,PartialRemoval
PL1841.1JP9,6.63,0.028,1,1,0,1,0,1,0,PartialRemoval
PL1841.3JP9,2.37,0.028,1,1,0,1,0,1,0,PartialRemoval
PL1841.1JP3,6.63,0.022,1,1,0,1,0,1,0,PartialRemoval
PL1841.3JP3,2.37,0.022,1,1,0,1,0,1,0,PartialRemoval
PL1841.1JP4,6.63,0.035,1,1,0,1,0,1,0,PartialRemoval
PL1841.3JP4,2.37,0.035,1,1,0,1,0,1,0,PartialRemoval
PL1841.1J10,6.63,0.022,1,1,0,1,0,1,0,PartialRemoval
PL1841.3JP10,2.37,0.022,1,1,0,1,0,1,0,PartialRemoval
PL1841.1JP5,6.63,0.022,1,1,0,1,0,1,0,PartialRemoval
PL1841.3JP5,2.37,0.022,1,1,0,1,0,1,0,PartialRemoval
PL1841.1JP8,6.63,0.028,1,1,0,1,0,1,0,PartialRemoval
PL1841.3JP8,2.37,0.028,1,1,0,1,0,1,0,PartialRemoval
PL1987,10,0.088,1,1,0,1,0,1,0,PartialRemoval
PL1987,10,0.097,1,1,0,1,0,1,0,PartialRemoval
PL1987,10,0.046,1,1,0,1,0,1,0,PartialRemoval
PL2567,6,0.04,1,1,0,1,0,1,0,PartialRemoval
PL123,12.75,0.75,1,1,0,1,0,1,0,PartialRemoval
PL125,12.75,1.23,1,1,0,1,0,1,0,PartialRemoval
PL1384,10,3.375,1,1,0,1,0,1,0,PartialRemoval
PL1385,10,3.305,1,1,0,1,0,1,0,PartialRemoval
PL1386,10,3.372,1,1,0,1,0,1,0,PartialRemoval
PL1387,8,3.407,1,1,0,1,0,1,0,PartialRemoval
PL1415,8,3.663,1,1,0,1,0,1,0,PartialRemoval
PL1416,10,3.652,1,1,0,1,0,1,0,PartialRemoval
PL2141,10,2.99,1,1,0,1,0,1,0,PartialRemoval
PL2245,10,3.75,1,1,0,1,0,1,0,PartialRemoval
PL1360,10,6.586,1,1,0,1,0,1,0,PartialRemoval
PL1361,8,6.555,1,1,0,1,0,1,0,PartialRemoval
PL1969(J)BW,6,0.055,1,1,0,1,0,1,0,PartialRemoval
PL115,16,19.1,1,0,1,1,0,1,0,PartialRemoval
PL894,18,0.45,1,0,1,1,0,1,0,PartialRemoval
PL895,18,0.45,1,0,1,1,0,1,0,PartialRemoval
PL896,30,0.45,1,0,1,1,0,1,0,PartialRemoval
PL360,18,12.3,1,0,1,1,0,1,0,PartialRemoval
PL361,18,12.7,1,0,1,1,0,1,0,PartialRemoval
PL894,18,15,1,0,1,1,0,1,0,PartialRemoval
PL895,18,15,1,0,1,1,0,1,0,PartialRemoval
PL301,8,0.265,1,0,1,1,0,1,0,PartialRemoval
PL165,6,0.6,1,0,0,1,0,1,0,PartialRemoval
PL992,12,0.058,1,1,0,1,0,1,0,PartialRemoval
PL992,12,0.088,1,1,0,1,0,1,0,PartialRemoval
PL992,12,0.049,1,1,0,1,0,1,0,PartialRemoval
PL738,6,0.025,1,1,0,1,0,1,0,PartialRemoval
PL739,6,0.025,1,1,0,1,0,1,0,PartialRemoval
PL740,6,0.025,1,1,0,1,0,1,0,PartialRemoval
PL741,6,0.025,1,1,0,1,0,1,0,PartialRemoval
PL742,6,0.04,1,1,0,1,0,1,0,PartialRemoval
PL743,6,0.04,1,1,0,1,0,1,0,PartialRemoval
PL744,6,0.04,1,1,0,1,0,1,0,PartialRemoval
PL745,6,0.04,1,1,0,1,0,1,0,PartialRemoval
PL734,6,0.04,1,1,0,1,0,1,0,PartialRemoval
PL734,8,0.05,1,1,0,1,0,1,0,PartialRemoval
PL733,8,0.055,1,1,0,1,0,1,0,PartialRemoval
PL734,8,0.255,1,1,0,1,0,1,0,PartialRemoval
PL733,8,0.255,1,1,0,1,0,1,0,PartialRemoval
PL733,8,2.871,1,0,0,1,0,1,0,PartialRemoval
PL734,8,2.871,1,0,0,1,0,1,0,PartialRemoval
PL733,8,3.239,1,0,0,1,0,1,0,PartialRemoval
PL734,8,3.241,1,0,0,1,0,1,0,PartialRemoval
PL734,8,0.09,1,0,0,1,0,1,0,PartialRemoval
PL733,8,0.09,1,0,0,1,0,1,0,PartialRemoval
PL2852,4,0.055,1,0,0,1,0,1,0,PartialRemoval
PL2852,4,0.048,1,0,0,1,0,1,0,PartialRemoval
PL2852,4,0.0065,1,0,0,1,0,1,0,PartialRemoval
PL2852,4,0.127,1,0,0,1,0,1,0,PartialRemoval
PL2852,4,0.004,1,0,0,1,0,1,0,PartialRemoval
PL2852,4,0.186,1,0,0,1,0,1,0,PartialRemoval
PL1550A,12,0.276,1,0,0,0,0,0,0,PartialRemoval
PL3084,6,12.28,1,1,0,1,1,0,1,PartialRemoval
PL148,6,24.968,1,1,0,1,1,0,1,PartialRemoval
PL148,5,25.285,1,1,0,1,1,0,1,PartialRemoval
PL204,2,3.578,1,1,0,1,1,0,1,PartialRemoval
PL205,2,3.569,1,1,0,1,1,0,1,PartialRemoval
PL2067,4.5,13.4,1,1,0,1,1,0,1,PartialRemoval
PL497,3,16.96,1,1,0,1,1,0,1,PartialRemoval
PL993,2,2.347,1,1,0,1,1,0,1,PartialRemoval
PL993,2,3.127,1,1,0,1,1,0,1,PartialRemoval
PL736,5,6.7,1,1,0,1,1,0,1,PartialRemoval
PL1545,4,6.4,1,1,0,1,1,0,1,PartialRemoval
PL1557,3,6.95,1,1,0,1,1,0,1,PartialRemoval
PL2446,12.05511811,1.65,1,1,0,1,1,0,1,PartialRemoval
PL2446JI2,12.05511811,4.16,1,1,0,1,1,0,1,PartialRemoval
PL2919,10.43700787,6.7,1,1,0,1,1,0,1,PartialRemoval
PL637,5,7,1,1,0,1,1,0,1,PartialRemoval
PL1443.1,6,6.2,1,1,0,1,1,0,1,PartialRemoval
PL1444.1,4,62,1,1,0,1,1,0,1,PartialRemoval
PL2285,,,1,0,0,1,1,0,1,PartialRemoval
PL724,3,4.42,1,0,0,1,1,0,1,PartialRemoval
PL634,10,7,1,0,0,1,1,0,1,PartialRemoval
PL635,4,7,1,0,0,1,1,0,1,PartialRemoval
PL1987,10,9.042,1,1,0,1,0,1,1,PartialRemoval
PL2567,6,5.105,1,1,0,1,0,1,1,PartialRemoval
PL2567,6,2.226,1,1,0,1,0,1,1,PartialRemoval
PL1969,10,12,1,1,0,1,0,1,1,PartialRemoval
PL636-1,6,7,1,1,0,1,0,1,1,PartialRemoval
PL636-2,6,7,1,1,0,1,0,1,1,PartialRemoval
PL1442.1,6,9.02,1,1,0,1,0,1,1,PartialRemoval
PL1447,6,2.3,1,1,0,1,0,1,1,PartialRemoval
PL1448,2,2.3,1,1,0,1,0,1,1,PartialRemoval
PL301,8,78.62,1,0,1,1,0,1,1,PartialRemoval
PL301,8,37.408,1,0,1,1,0,1,1,PartialRemoval
PL194,24,3.673,1,1,0,1,0,1,1,PartialRemoval
PL195,24,3.461,1,1,0,1,0,1,1,PartialRemoval
PL1838,16,67.005,1,1,0,1,0,1,1,PartialRemoval
PL112A,6,1.55,1,1,0,1,0,1,1,PartialRemoval
PL2066,10,17.8,1,1,0,1,0,1,1,PartialRemoval
FL496,20,16.89,1,1,0,1,0,1,1,PartialRemoval
PL2468,12,4.771,1,1,0,1,0,1,1,PartialRemoval
PL2468,12,4.304,1,1,0,1,0,1,1,PartialRemoval
PL992,12,2.35,1,1,0,1,0,1,1,PartialRemoval
PL992,12,3.13,1,1,0,1,0,1,1,PartialRemoval
PL1555,8,7.139,1,1,0,1,0,1,1,PartialRemoval
PL2443,16.61023622,1.64,1,1,0,1,0,1,1,PartialRemoval
PL2444,16.61023622,1.67,1,1,0,1,0,1,1,PartialRemoval
PL2445,6.913385827,1.63,1,1,0,1,0,1,1,PartialRemoval
PL2448,8.480314961,6.16,1,1,0,1,0,1,1,PartialRemoval
PL2799,15.7480315,5.87,1,1,0,1,0,1,1,PartialRemoval
PL2800,5.42519685,5.79,1,1,0,1,0,1,1,PartialRemoval
PL1631,14,16.19,1,1,0,1,0,1,1,PartialRemoval
PL1632,12,35.91,1,1,0,1,0,1,1,PartialRemoval
PL723,14,4.34,1,0,1,1,0,1,1,PartialRemoval
PL3083,10,11.97,1,0,0,1,0,1,1,PartialRemoval
PL148,10,25.027,1,0,0,1,0,1,1,PartialRemoval
PL2284,,,1,0,0,1,0,1,1,PartialRemoval
PL2401,8,0.04,1,0,0,1,0,1,1,PartialRemoval
PL2401,8,3.7,1,0,0,1,0,1,1,PartialRemoval
PL2852,4,10.265,1,0,0,1,0,1,1,PartialRemoval
PL1099,4,15.1,1,1,0,0,0,0,1,PartialRemoval
